time;x;y
9005.037313432835;813.5;652.5
9038.389303482587;819.5;669.5
9071.741293532337;809.5;659.5
9105.09328358209;817.5;664.5
9138.44527363184;832.5;672.5
9171.797263681592;838.5;664.5
9205.149253731342;846.5;677.5
9238.501243781095;843.5;667.5
9271.853233830845;853.5;674.5
9305.205223880597;855.5;679.5
9338.557213930348;856.5;684.5
9371.9092039801;862.5;676.5
9405.26119402985;852.5;684.5
9438.613184079602;866.5;685.5
9471.965174129353;870.5;677.5
9505.317164179103;878.5;674.5
9538.669154228855;886.5;684.5
9572.021144278606;885.5;683.5
9605.373134328358;886.5;678.5
9638.725124378108;882.5;690.5
9672.07711442786;884.5;674.5
9705.429104477611;888.5;683.5
9738.781094527363;904.5;677.5
9772.133084577114;898.5;680.5
9805.485074626866;898.5;688.5
9838.837064676616;906.5;679.5
9872.189054726368;906.5;672.5
9905.541044776119;920.5;686.5
9938.893034825871;914.5;688.5
9972.245024875621;920.5;684.5
10005.597014925374;923.5;693.5
10038.949004975124;924.5;676.5
10072.300995024876;936.5;668.5
10105.652985074626;925.5;671.5
10139.004975124377;936.5;665.5
10172.356965174129;945.5;675.5
10205.70895522388;950.5;669.5
10239.060945273632;943.5;658.5
10272.412935323382;949.5;651.5
10305.764925373134;955.5;649.5
10339.116915422885;958.5;651.5
10372.468905472637;955.5;648.5
10405.820895522387;965.5;647.5
10439.17288557214;966.5;644.5
10472.52487562189;977.5;643.5
10505.876865671642;986.5;632.5
10539.228855721392;985.5;652.5
10572.580845771145;968.5;633.5
10605.932835820895;996.5;626.5
10639.284825870647;977.5;626.5
10672.636815920398;989.5;615.5
10705.988805970148;1003.5;620.5
10739.3407960199;993.5;614.5
10772.69278606965;997.5;608.5
10806.044776119403;1002.5;594.5
10839.396766169153;1000.5;604.5
10872.748756218905;987.5;587.5
10906.100746268656;985.5;593.5
10939.452736318408;989.5;581.5
10972.804726368158;1008.5;573.5
11006.15671641791;996.5;578.5
11039.50870646766;995.5;567.5
11072.860696517413;998.5;564.5
11106.212686567163;996.5;562.5
11139.564676616916;1000.5;554.5
11172.916666666666;988.5;550.5
11206.268656716418;996.5;552.5
11239.620646766169;994.5;544.5
11272.972636815919;985.5;538.5
11306.324626865671;984.5;534.5
11339.676616915422;985.5;528.5
11373.028606965174;985.5;523.5
11406.380597014924;993.5;521.5
11439.732587064676;999.5;517.5
11473.084577114427;992.5;514.5
11506.436567164179;988.5;512.5
11539.78855721393;990.5;505.5
11573.140547263682;985.5;501.5
11606.492537313432;989.5;493.5
11639.844527363184;974.5;492.5
11673.196517412935;977.5;482.5
11706.548507462687;979.5;483.5
11739.900497512437;974.5;478.5
11773.25248756219;972.5;470.5
11806.60447761194;988.5;463.5
11839.956467661692;966.5;462.5
11873.308457711442;961.5;456.5
11906.660447761193;977.5;455.5
11940.012437810945;962.5;451.5
11973.364427860695;964.5;448.5
12006.716417910447;956.5;442.5
12040.068407960198;958.5;444.5
12073.42039800995;973.5;442.5
12106.7723880597;946.5;437.5
12140.124378109453;949.5;431.5
12173.476368159203;952.5;418.5
12206.828358208955;943.5;420.5
12240.180348258706;948.5;412.5
12273.532338308458;951.5;399.5
12306.884328358208;944.5;390.5
12340.23631840796;932.5;402.5
12373.58830845771;932.5;394.5
12406.940298507463;931.5;393.5
12440.292288557213;920.5;387.5
12473.644278606964;926.5;375.5
12506.996268656716;909.5;386.5
12540.348258706466;905.5;380.5
12573.700248756219;902.5;362.5
12607.052238805969;904.5;367.5
12640.404228855721;907.5;361.5
12673.756218905472;903.5;359.5
12707.108208955224;892.5;357.5
12740.460199004974;895.5;355.5
12773.812189054726;892.5;348.5
12807.164179104477;899.5;344.5
12840.516169154229;890.5;344.5
12873.86815920398;895.5;331.5
12907.220149253732;888.5;331.5
